id,name,genres,popularity_x,time_range,followers
5HczG7gdd89oDKY0CUyPof,Wael Jassar,"arab pop, lebanese pop",52,long_term,"{'href': None, 'total': 2038153}"
0CSSBwiYmYF569NxdQedQ3,Carole Samaha,"arab pop, lebanese pop",45,long_term,"{'href': None, 'total': 1068292}"
3pCdpK2DVRSs77L9RtxFy0,Melhem Zein,"arab pop, dabke, lebanese pop",40,long_term,"{'href': None, 'total': 461647}"
46FJPTBdnCK0GMd76nil6e,Yara,"arab pop, lebanese pop",38,long_term,"{'href': None, 'total': 310871}"
1LljnS3oumQ36wdBhkPKrs,Fadel Chaker,"arab pop, lebanese pop",47,long_term,"{'href': None, 'total': 1650481}"
3PhoLpVuITZKcymswpck5b,Elton John,"glam rock, mellow gold, piano rock, rock",81,long_term,"{'href': None, 'total': 12002876}"
68rvMwPL0yMbYR5cv0pzCR,Elissa,"arab pop, lebanese pop",54,long_term,"{'href': None, 'total': 3413706}"
4wyNyxs74Ux8UIDopNjIai,King Krule,uk alternative pop,60,long_term,"{'href': None, 'total': 762646}"
6uOgBVYHvqTGAQ5iVHDVT7,Ragheb Alama,"classic arab pop, lebanese pop",50,long_term,"{'href': None, 'total': 1423454}"
39AgPTHxIEp2QUozYYsnV1,Ramy Ayach,"arab pop, lebanese pop",41,long_term,"{'href': None, 'total': 563731}"
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,"canadian pop, pop",87,long_term,"{'href': None, 'total': 73622717}"
2VXNaPH6tQXdoLbU3PrRVz,Adam,lebanese pop,36,long_term,"{'href': None, 'total': 68918}"
2ieBl5s08uHBwM8sUPvg65,Nassif Zeytoun,"arab pop, dabke, syrian pop",49,long_term,"{'href': None, 'total': 887549}"
3GBPw9NK25X1Wt2OUvOwY3,Jack Johnson,neo mellow,74,long_term,"{'href': None, 'total': 3680587}"
6hnWRPzGGKiapVX1UCdEAC,Sam Cooke,"classic soul, soul, vocal jazz",66,long_term,"{'href': None, 'total': 1516294}"
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock",77,long_term,"{'href': None, 'total': 19404604}"
4dpARuHxo51G3z768sgnrY,Adele,"british soul, pop, pop soul, uk pop",83,long_term,"{'href': None, 'total': 50341934}"
3AA28KZvwAUcZuOKwyblJQ,Gorillaz,"alternative hip hop, modern rock, rock",77,long_term,"{'href': None, 'total': 10725672}"
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator","hip hop, rap",84,long_term,"{'href': None, 'total': 12259763}"
50co4Is1HCEo8bhOyUWKpn,Young Thug,"atl hip hop, atl trap, gangster rap, melodic rap, rap, trap",84,long_term,"{'href': None, 'total': 8697484}"
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,"hip hop, rap, slap house",93,long_term,"{'href': None, 'total': 23446358}"
3KNh2bgk3J2OGvzt0LJbrM,Rabih Baroud,"arab pop, lebanese pop",28,long_term,"{'href': None, 'total': 79255}"
