id,name_x,artist,album,release_date,duration_ms_x,added_at,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,time_signature
439X8jGytErRiPnaoUJHju,CHANCES,KAYTRANADA,NOTHIN LIKE U / CHANCES,2018-11-30,218200,2022-11-07 15:26:24+00:00,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",0.835,0.527,7,-7.272,0,0.128,0.204,0.000423,0.283,0.611,106.003,audio_features,spotify:track:439X8jGytErRiPnaoUJHju,https://api.spotify.com/v1/tracks/439X8jGytErRiPnaoUJHju,https://api.spotify.com/v1/audio-analysis/439X8jGytErRiPnaoUJHju,4
58Zt987fK6gWxtO0MwEzPn,Waiting In Vain,Bob Marley & The Wailers,Exodus,1977-06-03,256239,2022-10-31 11:14:49+00:00,"['reggae', 'roots reggae']",0.772,0.46,8,-11.489,1,0.327,0.0279,2.21e-05,0.0633,0.8,78.786,audio_features,spotify:track:58Zt987fK6gWxtO0MwEzPn,https://api.spotify.com/v1/tracks/58Zt987fK6gWxtO0MwEzPn,https://api.spotify.com/v1/audio-analysis/58Zt987fK6gWxtO0MwEzPn,4
4e6ZN0EcEqYx74BTC5xQzy,The Man,Aloe Blacc,Lift Your Spirit,2013-01-01,255906,2022-10-28 09:39:58+00:00,"['pop soul', 'r&b']",0.533,0.755,11,-7.25,0,0.0419,0.0332,0.0,0.233,0.472,86.034,audio_features,spotify:track:4e6ZN0EcEqYx74BTC5xQzy,https://api.spotify.com/v1/tracks/4e6ZN0EcEqYx74BTC5xQzy,https://api.spotify.com/v1/audio-analysis/4e6ZN0EcEqYx74BTC5xQzy,4
63xdwScd1Ai1GigAwQxE8y,Let's Stay Together,Al Green,Let's Stay Together,1972-01-01,199396,2022-10-22 15:11:25+00:00,"['classic soul', 'funk', 'memphis soul', 'soul', 'soul blues', 'southern soul']",0.756,0.401,7,-10.702,0,0.0526,0.582,0.011,0.0541,0.514,101.954,audio_features,spotify:track:63xdwScd1Ai1GigAwQxE8y,https://api.spotify.com/v1/tracks/63xdwScd1Ai1GigAwQxE8y,https://api.spotify.com/v1/audio-analysis/63xdwScd1Ai1GigAwQxE8y,4
35YyxFpE0ZTOoqFx5bADW8,Nude,Radiohead,In Rainbows,2007-12-28,255386,2022-10-20 09:01:33+00:00,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",0.516,0.342,4,-9.785,1,0.0342,0.832,0.579,0.0857,0.167,128.378,audio_features,spotify:track:35YyxFpE0ZTOoqFx5bADW8,https://api.spotify.com/v1/tracks/35YyxFpE0ZTOoqFx5bADW8,https://api.spotify.com/v1/audio-analysis/35YyxFpE0ZTOoqFx5bADW8,3
5ruzrDWcT0vuJIOMW7gMnW,The Adults Are Talking,The Strokes,The New Abnormal,2020-04-10,309053,2022-08-09 00:10:53+00:00,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,audio_features,spotify:track:5ruzrDWcT0vuJIOMW7gMnW,https://api.spotify.com/v1/tracks/5ruzrDWcT0vuJIOMW7gMnW,https://api.spotify.com/v1/audio-analysis/5ruzrDWcT0vuJIOMW7gMnW,4
56NkIxSZZiMpFP5ZNSxtnT,Someday,The Strokes,Is This It,2001-07-30,183573,2022-08-09 00:08:31+00:00,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",0.542,0.531,9,-7.481,1,0.0301,0.0033,1.51e-06,0.338,0.671,105.97,audio_features,spotify:track:56NkIxSZZiMpFP5ZNSxtnT,https://api.spotify.com/v1/tracks/56NkIxSZZiMpFP5ZNSxtnT,https://api.spotify.com/v1/audio-analysis/56NkIxSZZiMpFP5ZNSxtnT,4
0bgCMcpNvjH92GTQfZMvp4,Skydive,WESTSIDE BOOGIE,Everythings For Sale,2019-01-25,209346,2022-07-25 22:23:42+00:00,"['indie hip hop', 'underground hip hop']",0.669,0.531,7,-8.514,1,0.0625,0.541,4.85e-05,0.12,0.387,146.751,audio_features,spotify:track:0bgCMcpNvjH92GTQfZMvp4,https://api.spotify.com/v1/tracks/0bgCMcpNvjH92GTQfZMvp4,https://api.spotify.com/v1/audio-analysis/0bgCMcpNvjH92GTQfZMvp4,4
0KIPa0YuQ5QFmlAqRyXNd9,At the River,Groove Armada,Vertigo,2000-02-22,393640,2022-07-24 11:59:41+00:00,"['big beat', 'electronica', 'nu skool breaks', 'trip hop']",0.697,0.514,8,-8.627,1,0.0286,0.0302,0.532,0.212,0.44,136.071,audio_features,spotify:track:0KIPa0YuQ5QFmlAqRyXNd9,https://api.spotify.com/v1/tracks/0KIPa0YuQ5QFmlAqRyXNd9,https://api.spotify.com/v1/audio-analysis/0KIPa0YuQ5QFmlAqRyXNd9,4
2ZssXuZfktUr4MMDzEWD2Z,Good God Damn,Arcade Fire,Everything Now,2017-07-28,214426,2022-07-11 20:12:27+00:00,"['alternative rock', 'baroque pop', 'canadian indie', 'chamber pop', 'indie rock', 'indietronica', 'modern rock', 'permanent wave', 'quebec indie', 'rock']",0.799,0.496,11,-8.304,0,0.0391,0.0927,0.00293,0.31,0.5,99.023,audio_features,spotify:track:2ZssXuZfktUr4MMDzEWD2Z,https://api.spotify.com/v1/tracks/2ZssXuZfktUr4MMDzEWD2Z,https://api.spotify.com/v1/audio-analysis/2ZssXuZfktUr4MMDzEWD2Z,4
3GZD6HmiNUhxXYf8Gch723,Lost,Frank Ocean,channel ORANGE,2012-07-10,234093,2022-07-08 14:53:00+00:00,"['lgbtq+ hip hop', 'neo soul']",0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,audio_features,spotify:track:3GZD6HmiNUhxXYf8Gch723,https://api.spotify.com/v1/tracks/3GZD6HmiNUhxXYf8Gch723,https://api.spotify.com/v1/audio-analysis/3GZD6HmiNUhxXYf8Gch723,4
5VarZFY00sO54HErJ3TPCI,So Good At Being in Trouble,Unknown Mortal Orchestra,II,2013-02-05,230146,2022-07-05 23:04:05+00:00,"['art pop', 'indie rock', 'indie soul', 'indietronica', 'kiwi rock', 'neo-psychedelic', 'portland hip hop', 'psychedelic pop']",0.829,0.435,0,-10.136,1,0.0515,0.0363,0.878,0.119,0.594,103.816,audio_features,spotify:track:5VarZFY00sO54HErJ3TPCI,https://api.spotify.com/v1/tracks/5VarZFY00sO54HErJ3TPCI,https://api.spotify.com/v1/audio-analysis/5VarZFY00sO54HErJ3TPCI,4
0wXuerDYiBnERgIpbb3JBR,Redbone,Childish Gambino,"""Awaken, My Love!""",2016-12-02,326933,2022-07-03 20:29:48+00:00,"['atl hip hop', 'hip hop', 'rap']",0.743,0.344,1,-11.174,1,0.118,0.169,0.00879,0.103,0.577,160.15,audio_features,spotify:track:0wXuerDYiBnERgIpbb3JBR,https://api.spotify.com/v1/tracks/0wXuerDYiBnERgIpbb3JBR,https://api.spotify.com/v1/audio-analysis/0wXuerDYiBnERgIpbb3JBR,4
70WSr32oW4jC1na5I0j0D6,Anemone,The Brian Jonestown Massacre,Their Satanic Majesties' Second Request,2008-06-09,334466,2022-06-29 23:12:36+00:00,"['alternative rock', 'bay area indie', 'garage rock', 'neo-psychedelic', 'noise pop', 'shoegaze']",0.527,0.636,5,-12.888,0,0.0347,0.0599,0.843,0.204,0.607,83.101,audio_features,spotify:track:70WSr32oW4jC1na5I0j0D6,https://api.spotify.com/v1/tracks/70WSr32oW4jC1na5I0j0D6,https://api.spotify.com/v1/audio-analysis/70WSr32oW4jC1na5I0j0D6,4
2ehJaweGRM6o57Zx3It0sV,Under My Thumb - Mono / Remastered,The Rolling Stones,The Rolling Stones In Mono (Remastered 2016),1966-01-01,204600,2022-06-28 19:59:04+00:00,"['album rock', 'british invasion', 'classic rock', 'rock']",0.772,0.574,9,-8.386,1,0.0414,0.142,0.2,0.0927,0.908,127.241,audio_features,spotify:track:2ehJaweGRM6o57Zx3It0sV,https://api.spotify.com/v1/tracks/2ehJaweGRM6o57Zx3It0sV,https://api.spotify.com/v1/audio-analysis/2ehJaweGRM6o57Zx3It0sV,4
